assumptionId,category,description,currentValue,unit,originalCurrency,targetCurrency,originalPriceYear,targetPriceYear,sourceCitation,sourceLocation,pageTableItem,repositoryPath,repositoryVariable,derivationMethod,inflationIndexId,inclusionStatus,reviewStatus,provisional,bundledIntoAssumptionId,doubleCountingGroup,notes,unresolvedReason
epi.baseline_recent_ltbi_proportion,epidemiology,Baseline proportion of prevalent LTBI in recent/fast latent state,,probability,,,,,No APY-specific source found in repository,Repository audit,,engine/apy/config.py,ltbiStateAssumptions.baselineRecentLTBIProportion,,,included,unresolved,True,,ltbi_state,Do not use synthetic validation fixture as APY reference evidence.,APY-specific baseline recent-LTBI fraction unresolved.
epi.recent_to_remote_transition_rate,epidemiology,Continuous Markov recent-to-remote LTBI transition rate,0.2,per year,,,,,Older static/transmission-dynamic architecture noted in APY config,Configuration comments,,engine/apy/ltbi_state.py,RECENT_TO_REMOTE_RATE_PER_YEAR,1 / mean residence time of five years,,included,configured_reviewed,False,,ltbi_state,Transition structure is reviewed as inherited model structure only; it does not validate baseline recent fraction.,
epi.ltbi_prevalence,epidemiology,LTBI prevalence calibration target,0.0753205128205128,probability,,,,,MATLAB reference calibration snapshot and default APY calibration target,Reference fixture,targetInfPrev,validation/matlab_reference/default_random_igra_3hp_N1500_seed1/matlab_parameter_snapshot.json,targetInfPrev,47 / 624 implied by Cho output script,,included,unreviewed_repository_input,True,,ltbi_prevalence,"Repository value is a software calibration target, not independently reviewed evidence.",Scientific provenance for APY reference LTBI prevalence not reviewed.
epi.active_tb_calibration_target_2y,epidemiology,Active-TB calibration target by two years,0.012987012987013,probability,,,,,MATLAB reference engine default targetActive2y,Code default,,abm/tb_screening_mc_model_v9.m,targetActive2y,10 / 770,,included,unreviewed_repository_input,True,,active_tb_calibration,"nActiveBy2y is active TB by two years, independent of screening window.",Scientific provenance for active-TB calibration target not reviewed.
epi.igra_sensitivity,epidemiology,IGRA sensitivity,0.95,probability,,,,,Existing APY default parameter,Configuration,,engine/apy/config.py,testCharacteristics.IGRA.sensitivity,,,included,unreviewed_repository_input,True,,test_characteristics,data/parameters.csv also contains snqftgit=0.7 for QFT Gold; conflict requires review.,Conflicting repository values require source review.
epi.igra_specificity,epidemiology,IGRA specificity,0.98,probability,,,,,Existing APY default parameter,Configuration,,engine/apy/config.py,testCharacteristics.IGRA.specificity,,,included,unreviewed_repository_input,True,,test_characteristics,data/parameters.csv also contains spqftgit=0.8553 for QFT Gold; conflict requires review.,Conflicting repository values require source review.
epi.tst_sensitivity,epidemiology,TST sensitivity,0.8,probability,,,,,Existing APY default parameter,Configuration,,engine/apy/config.py,tstSensitivity,,,included,unreviewed_repository_input,True,,test_characteristics,data/parameters.csv contains sntst10=0.77 and sntst15=0.59; threshold definition requires review.,Conflicting repository values require source review.
epi.tst_specificity_bcg,epidemiology,TST specificity with BCG,0.55,probability,,,,,Existing APY default parameter,Configuration,,engine/apy/config.py,tstSpecificityBCG,,,included,unreviewed_repository_input,True,,test_characteristics,No reviewed source found in repository.,Scientific provenance not reviewed.
epi.tst_specificity_no_bcg,epidemiology,TST specificity without BCG,0.97,probability,,,,,Existing APY default parameter,Configuration,,engine/apy/config.py,tstSpecificityNoBCG,,,included,unreviewed_repository_input,True,,test_characteristics,data/parameters.csv contains sptst10=0.7763 and sptst15=1.0; threshold/BCG mapping requires review.,Conflicting repository values require source review.
epi.tpt_initiation,epidemiology,TPT initiation probability,,probability,,,,,Regimen defaults or cascade parameters,Repository audit,,data/parameters.csv,begintrt;ttt3HP;ttt4R;ttt6H;ttt9H,,,included,unreviewed_repository_input,True,,tpt_cascade,Multiple repository variables may represent initiation; no reviewed mapping chosen.,Mapping and provenance unresolved.
